胞,ホウ placenta
於,おい∙て/オ at
排,ハイ repudiate
逗,とど∙まる/トウ stop
厨,くりや/シュウ kitchen
渋,しぶ/ジュウ astringent
馴,な∙れる/ジュン get used to
寮,リョウ dormitory
宙,チュウ mid-air
体,からだ/タイ body
葬,ほうむ∙る/ソウ interment
謙,へりくだ∙る/ケン self-effacing
戦,いくさ/セン war
千,ち/セン thousand
伶,わざおぎ/レイ actor
努,つと∙める/ド toil
説,と∙く/セツ opinion
領,えり/リョウ jurisdiction
栄,さか∙える/エイ flourish
幌,ほろ/コウ canopy
憧,あこが∙れる/ショウ yearn after
軽,かる∙い/ケイ lightly
新,あたら∙しい/シン new
累,ルイ accumulate
矢,や/シ dart
錘,つむ/スイ weight
禽,とり/キン bird
渡,わた∙る/ト transit
叢,くさむら/ソウ plexus
